episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
418,83575,0.0100,0.0000,256,0.002361,,
419,83831,0.0100,0.0000,256,0.002476,,
420,84087,0.0100,0.0000,256,0.002281,,
421,84343,0.0100,0.0000,256,0.002414,,
422,84599,0.0100,0.0000,256,0.001924,,
423,84855,0.0100,0.0000,256,0.002397,,
424,85111,0.0100,0.0000,256,0.002244,,
425,85367,0.0100,0.0000,256,0.002167,,
426,85623,0.0100,0.0000,256,0.002337,,
427,85879,0.0100,0.0000,256,0.002564,,
428,86135,0.0100,0.0000,256,0.001735,,
429,86391,0.0100,0.0000,256,0.002832,,
430,86647,0.0100,0.0000,256,0.002118,,
431,86903,0.0100,0.0000,256,0.002649,,
432,87159,0.0100,0.0000,256,0.001999,,
433,87415,0.0100,0.0000,256,0.002448,,
434,87671,0.0100,0.0000,256,0.002246,,
435,87927,0.0100,0.0000,256,0.002403,,
436,88183,0.0100,0.0000,256,0.001987,,
437,88439,0.0100,0.0000,256,0.001859,,
438,88695,0.0100,0.0000,256,0.002474,,
439,88951,0.0100,0.0000,256,0.002084,,
440,89207,0.0100,0.0000,256,0.001873,,
441,89463,0.0100,0.0000,256,0.001742,,
442,89719,0.0100,0.0000,256,0.002006,,
443,89975,0.0100,0.0000,256,0.001751,,
444,90231,0.0100,0.0000,256,0.001877,,
445,90487,0.0100,0.0000,256,0.002095,,
446,90743,0.0100,0.0000,256,0.001989,,
447,90999,0.0100,0.0000,256,0.002005,,
448,91255,0.0100,0.0000,256,0.001813,,
449,91511,0.0100,0.0000,256,0.001858,,
450,91767,0.0100,0.0000,256,0.002190,,
451,92023,0.0100,0.0000,256,0.002033,,
452,92279,0.0100,0.0000,256,0.001703,,
453,92535,0.0100,0.0000,256,0.001660,,
454,92791,0.0100,0.0000,256,0.001739,,
455,93047,0.0100,0.0000,256,0.002060,,
456,93303,0.0100,0.0000,256,0.001878,,
457,93559,0.0100,0.0000,256,0.002049,,
458,93815,0.0100,0.0000,256,0.001907,,
459,94071,0.0100,0.0000,256,0.002315,,
460,94327,0.0100,0.0000,256,0.001810,,
461,94583,0.0100,0.0000,256,0.002124,,
462,94839,0.0100,0.0000,256,0.001852,,
463,95095,0.0100,0.0000,256,0.001906,,
464,95351,0.0100,0.0000,256,0.001647,,
465,95607,0.0100,0.0000,256,0.002079,,
466,95863,0.0100,0.0000,256,0.002246,,
467,96119,0.0100,0.0000,256,0.001645,,
468,96375,0.0100,0.0000,256,0.001936,,
469,96631,0.0100,0.0000,256,0.001974,,
470,96887,0.0100,0.0000,256,0.001741,,
471,97143,0.0100,0.0000,256,0.001802,,
472,97399,0.0100,0.0000,256,0.001848,,
473,97655,0.0100,0.0000,256,0.001721,,
474,97911,0.0100,0.0000,256,0.001507,,
475,98167,0.0100,0.0000,256,0.002203,,
476,98423,0.0100,0.0000,256,0.001677,,
477,98679,0.0100,0.0000,256,0.001636,,
478,98935,0.0100,0.0000,256,0.001967,,
